account,name,link,keywords,language
@skepteis@skepteis.social,Daniel Probst,https://danielprobst.science,drug discovery;drug development;cheminformatics;ml;bioinformatics;graphs;signal processing,en
@physicsteo@mastodon.online,Matteo Cavalleri,https://www.linkedin.com/in/teowaits,compchem-ist former EiC of the Int. Journal of Quantum Chemistry publisher at WILEY simulation geek,en
@bspahh@sciencemastodon.com,Andrew Henry,https://www.linkedin.com/in/andrewhhenry/?originalSubdomain=uk,Computational chemistry;drug design;biologics;modelling,en
@rbhar90@mastodon.social,Bharath Ramsundar,https://rbharath.github.io/,lead Developer of DeepChem;Machine learning for drug discovery;small molecule design;differentiable physics,en
@ATGarciaSosa@mastodon.social,Alfonso T. Garcia-Sosa,https://hermes.chem.ut.ee/~alfx/index.html,drug design;molecular modeling;medicinal chemistry;computational chemistry;molecular dynamics,en
@marwinsegler@mastodon.social,Marwin Segler,https://www.microsoft.com/en-us/research/people/marwinsegler/,Machine Learning;Computational Chemistry;Organic Chemistry;Medicinal Chemistry;Reinforcement Learning,en
@caco3@scholar.social,Karel Berka,https://www.kfc.upol.cz/en/katedra/zamestnanci/berka/,Computational Chemistry;Medicinal Chemistry;Molecular modeling;Drug design,en
@egonw@scholar.social,Egon Willighagen,,cheminformatics;openscience;bioinformatics,nl
@skepteis@skepteis.social,Daniel Probst,https://danielprobst.science,drug discovery;drug development;cheminformatics;ml,en
@physicsteo@mastodon.online,Matteo Cavalleri,https://www.linkedin.com/in/teowaits,compchem-ist;former EiC of the Int. Journal of Quantum Chemistry;publisher at WILEY;simulation geek,en
@bspahh@sciencemastodon.com,Andrew Henry,https://www.linkedin.com/in/andrewhhenry/?originalSubdomain=uk,Computational chemistry;drug design;biologics modelling,en
@rbhar90@mastodon.social,Bharath Ramsundar,https://rbharath.github.io/,lead Developer of DeepChem;Machine learning for drug discovery small molecule design;differentiable physics,en
@ATGarciaSosa@mastodon.social,Alfonso T. Garcia-Sosa,https://hermes.chem.ut.ee/~alfx/index.html,drug design;molecular modeling;medicinal chemistry;computational chemistry;molecular dynamics,en
@marwinsegler@mastodon.social,Marwin Segler,https://www.microsoft.com/en-us/research/people/marwinsegler/,Machine Learning;Computational Chemistry;Organic Chemistry;Medicinal Chemistry;Reinforcement Learning,en
@davidzhuang@fosstodon.org,David Zhuang,https://scholar.google.com/citations?user=uIisBsQAAAAJ&hl=en,artificial intelligence;drug discovery,en
@pschmidtke@masto.ai,Peter Schmidtke,https://www.linkedin.com/in/peter-schmidtke-62860ab/,drug design;molecular modeling;medicinal chemistry;computational chemistry;molecular dynamics,en
@aspuru@mastodon.social,Alán Aspuru-Guzik,https://www.matter.toronto.edu/,self-driving labs;ai-driven molecular and materials discovery;molecular representations;generative models;Bayesian optimization;quantum computing;sustainability,en
@marquetand@mastodon.social,Philipp Marquetand,http://www.marquetand.net/,machine learning;nonadiabatic dynamics;computational chemistry,en
@MolecularXtal@mastodon.social,Janine George,https://jageo.github.io/,Chemical heuristics;Bonding Analysis;High-throughput DFT;Automation,en
@margraf@mastodon.social,Johannes Margraf,https://www.fhi.mpg.de/645847/margraf_group,Machine Learning;Electronic Structure Theory,en
@fxcoudert@mastodon.social,François-Xavier Coudert,https://www.coudert.name/,Materials discovery;high-throughput screening;machine learned potentials for materials,en
@lonepair@mstdn.social,Aron Walsh,https://wmd-group.github.io,computational chemistry;materials informatics;machine learning,en
